Name,Lat,Longt,AirTemp,RelativeHumidity,WindSpeed,Cluster
AP167_2005_8_29.n3,40.7335,-78.9172,0.6758720930232558,0.615,0.0075,1
AP171_2005_8_29.n3,46.6033,-120.6905,0.7340116279069767,0.215,0.0225,3
AP172_2005_8_29.n3,46.98330000000001,-123.8275,0.5813953488372093,0.9500000000000001,0.0,2
AP183_2005_8_29.n3,30.8942,-102.8908,0.7645348837209301,0.28,0.0375,3
AP184_2005_8_29.n3,35.993,-80.3108,0.7180232558139534,0.595,0.0,1
AP185_2005_8_29.n3,27.9435,-82.7593,0.7238372093023255,0.6375000000000001,0.0,1
AP187_2005_8_29.n3,36.0854,-86.9384,0.6598837209302325,1.0,0.0075,2
AP189_2005_8_29.n3,28.2605,-81.1443,0.7005813953488372,0.88,0.025,2
AP190_2005_8_29.n3,39.634,-105.0475,0.6802325581395349,0.255,0.0,3
AP192_2005_8_29.n3,36.145,-79.845,0.7194767441860465,0.5775,0.01,1
AP193_2005_8_29.n3,40.5017,-74.5028,0.6569767441860465,0.985,0.0,2
AP194_2005_8_29.n3,39.4297,-87.6542,0.7412790697674418,0.705,0.0,1
AP196_2005_8_29.n3,41.1533,-72.2883,0.6773255813953488,0.795,0.0,2
AP200_2005_8_29.n3,36.60132,-121.83726,0.6191860465116279,0.7575000000000001,0.0475,1
AP201_2005_8_29.n3,37.4068,-120.8485,0.7834302325581395,0.275,0.0675,3
AP203_2005_8_29.n3,36.5113,-119.6817,0.7994186046511628,0.3625,0.0,0
AP204_2005_8_29.n3,35.2638,-120.7108,0.6133720930232558,0.6900000000000001,0.115,1
AP205_2005_8_29.n3,44.4735,-70.0425,0.6337209302325582,0.8,0.0,2
AP207_2005_8_29.n3,44.478,-69.3438,0.6104651162790697,0.835,0.0175,2
AP210_2005_8_29.n3,44.633,-69.8933,0.6380813953488372,0.865,0.015,2
AP214_2005_8_29.n3,42.5352,-71.468,0.6627906976744186,0.9225,0.0,2
AP218_2005_8_29.n3,46.1608,-100.9612,0.7209302325581395,0.26,0.05333333333333333,3
AP221_2005_8_29.n3,49.4017,-97.3033,0.6322674418604651,0.6375000000000001,0.07,1
AP223_2005_8_29.n3,35.6253,-105.4325,0.6007751937984496,0.5166666666666666,0.003333333333333333,0
AP225_2005_8_29.n3,38.92,-95.4538,0.7136627906976744,1.0,0.03,2
AP227_2005_8_29.n3,35.4525,-97.6968,0.752906976744186,0.6475,0.0325,1
AP233_2005_8_29.n3,38.2652,-84.681,0.6308139534883721,1.0,0.0,2
AP235_2005_8_29.n3,38.94872,-84.66257,0.7049418604651163,0.605,0.0,1
AP241_2005_8_29.n3,44.9271,-72.9821,0.6816860465116279,0.615,0.05,1
AP243_2005_8_29.n3,45.5083,-73.5625,0.6918604651162791,0.0,0.06,3
AP244_2005_8_29.n3,46.7427,-71.4388,0.6613372093023255,0.76,0.0,1
AP245_2005_8_29.n3,42.246,-72.6763,0.6526162790697674,0.9475,0.0,2
AP248_2005_8_29.n3,42.9108,-76.9083,0.7034883720930233,0.6325000000000001,0.0,1
AP250_2005_8_29.n3,46.638,-111.943,0.7422480620155039,0.18333333333333332,0.04333333333333333,3
AP253_2005_8_29.n3,35.0545,-106.54,0.6918604651162791,0.255,0.1475,3
AP254_2005_8_29.n3,27.8733,-82.2478,0.6831395348837209,0.9425,0.035,2
AP255_2005_8_29.n3,31.8287,-106.4488,0.7122093023255814,0.2725,0.02,3
AP258_2005_8_29.n3,38.5797,-76.9963,0.7093023255813954,0.8066666666666668,0.0,2
AP259_2005_8_29.n3,38.9747,-76.3342,0.7046511627906977,0.826,0.027999999999999997,2
AP262_2005_8_29.n3,38.4943,-76.7022,0.7005813953488372,0.665,0.0,1
AP263_2005_8_29.n3,34.2992,-118.5112,0.7659883720930232,0.3025,0.0175,3
AP264_2005_8_29.n3,39.3725,-101.0483,0.7441860465116279,0.19,0.0,3
AP268_2005_8_29.n3,47.6195,-122.0455,0.6409883720930233,0.5725,0.0425,1
AP273_2005_8_29.n3,41.5655,-71.4943,0.6744186046511628,0.93,0.0,2
AP277_2005_8_29.n3,34.1543,-114.2575,0.8561046511627907,0.1125,0.055,3
AP278_2005_8_29.n3,44.8263,-68.7177,0.627906976744186,1.0,0.0,2
AP279_2005_8_29.n3,43.8492,-69.815,0.6406976744186047,0.9420000000000001,0.0,2
AP280_2005_8_29.n3,30.3597,-91.093,0.7223837209302325,0.675,0.0,1
AP283_2005_8_29.n3,41.4925,-72.2758,0.6744186046511628,1.0,0.02,2
AP284_2005_8_29.n3,41.491,-72.8405,0.6763565891472868,0.8633333333333333,0.01,2
AP286_2005_8_29.n3,40.4,-75.8333,0.6395348837209303,0.99,0.0,2
AP289_2005_8_29.n3,43.2842,-73.654,0.6569767441860465,0.88,0.02,2
AP292_2005_8_29.n3,40.4497,-74.4785,0.6700581395348837,0.99,0.0,2
AP294_2005_8_29.n3,39.8847,-74.1738,0.6947674418604651,0.86,0.01,2
AP295_2005_8_29.n3,38.6052,-77.1363,0.7093023255813954,0.785,0.0,2
AP296_2005_8_29.n3,38.9767,-76.5505,0.7063953488372093,1.0,0.035,2
AP302_2005_8_29.n3,18.4,-66.08,0.7732558139534883,0.535,0.07,0
AP303_2005_8_29.n3,42.0312,-73.8962,0.6584302325581395,0.92,0.0,2
AP307_2005_8_29.n3,39.9848,-75.3793,0.6715116279069767,0.76,0.0075,1
AP315_2005_8_29.n3,43.01053,-79.01967,0.7151162790697674,0.28500000000000003,0.0625,3
AP319_2005_8_29.n3,43.22,-79.8552,0.6821705426356589,0.1,0.03666666666666667,3
AP320_2005_8_29.n3,42.9938,-80.3172,0.7174418604651163,0.49,0.048,0
AP321_2005_8_29.n3,43.4043,-80.6335,0.6589147286821705,0.0,0.14333333333333334,3
AP324_2005_8_29.n3,38.9172,-79.494,0.6802325581395349,0.0,0.04,3
AP329_2005_8_29.n3,36.73,-78.3608,0.751453488372093,0.5700000000000001,0.06,1
AP340_2005_8_29.n3,36.135,-81.1733,0.7170542635658914,0.5266666666666666,0.023333333333333334,0
AP341_2005_8_29.n3,36.0992,-81.8897,0.627906976744186,0.9566666666666668,0.07666666666666667,2
AP346_2005_8_29.n3,40.0208,-83.0543,0.7398255813953488,0.40750000000000003,0.0,0
AP350_2005_8_29.n3,39.6272,-84.2793,0.7369186046511628,1.0,0.0175,2
AP355_2005_8_29.n3,42.5235,-82.8774,0.7165697674418604,0.43,0.0,0
AP359_2005_8_29.n3,40.6463,-111.9015,0.75,0.18,0.0,3
AP364_2005_8_29.n3,32.34581,-90.12427,0.7543604651162791,0.5925,0.0025,1
AP370_2005_8_29.n3,26.9963,-82.3967,0.7296511627906976,1.0,0.07,2
AP373_2005_8_29.n3,28.2457,-80.6145,0.7136627906976744,0.9175,0.0775,2
AP375_2005_8_29.n3,27.584999999999997,-80.4343,0.7441860465116279,0.61,0.0,1
AP377_2005_8_29.n3,42.37625,-87.99108,0.6831395348837209,0.5375,0.0,0
AP386_2005_8_29.n3,34.0885,-84.3743,0.7252906976744186,0.4675,0.03,0
AP388_2005_8_29.n3,33.86335,-84.09166,0.7302325581395348,0.674,0.012,1
AP390_2005_8_29.n3,33.4045,-111.5732,0.8406976744186045,0.18600000000000003,0.034,3
AP395_2005_8_29.n3,33.345,-84.4457,0.7005813953488372,0.9275,0.0,2
AP400_2005_8_29.n3,43.1438,-88.593,0.6744186046511628,0.53,0.016666666666666666,0
AP404_2005_8_29.n3,38.6048,-78.7855,0.7063953488372093,0.6625,0.0,1
AP407_2005_8_29.n3,39.1847,-74.7502,0.75,0.75,0.01,1
AP408_2005_8_29.n3,39.4922,-105.3142,0.6438953488372093,0.2175,0.005,3
AP414_2005_8_29.n3,44.735,-67.5018,0.626453488372093,1.0,0.0225,2
AP415_2005_8_29.n3,44.2035,-70.69,0.627906976744186,0.956,0.004,2
AP422_2005_8_29.n3,44.2917,-68.342,0.623546511627907,0.685,0.015,1
AP423_2005_8_29.n3,33.991,-114.433,0.8488372093023255,0.145,0.0425,3
AP430_2005_8_29.n3,38.9522,-92.33,0.6976744186046512,1.0,0.07,2
AP431_2005_8_29.n3,38.6717,-90.5392,0.7281976744186046,0.425,0.0,0
AP445_2005_8_29.n3,44.031,-92.5327,0.6962209302325582,1.0,0.005,2
AP446_2005_8_29.n3,43.9692,-92.4802,0.686046511627907,0.3975,0.0225,0
AP455_2005_8_29.n3,41.2862,-96.15,0.6468023255813954,0.845,0.09,2
AP456_2005_8_29.n3,41.1922,-104.8368,0.7093023255813954,0.135,0.045,3
AP457_2005_8_29.n3,41.428,-96.155,0.6468023255813954,0.6675,0.0925,1
AP458_2005_8_29.n3,41.4488,-96.4847,0.6468023255813954,0.77,0.0225,2
AP463_2005_8_29.n3,34.7942,-86.7335,0.7441860465116279,0.52,0.015,0
AP469_2005_8_29.n3,47.7355,-122.2008,0.6162790697674418,0.655,0.02,1
AP473_2005_8_29.n3,48.5542,-123.4485,0.5930232558139534,0.78,0.0,2
AP476_2005_8_29.n3,46.1827,-122.9583,0.5915697674418604,0.37,0.0,0
AP478_2005_8_29.n3,47.6358,-117.6963,0.7165697674418604,1.0,0.025,2
AP483_2005_8_29.n3,30.473,-87.2352,0.7383720930232558,0.655,0.1525,1
AP492_2005_8_29.n3,33.69,-114.216,0.8561046511627907,0.115,0.0,3
AP499_2005_8_29.n3,30.4525,-87.2168,0.7340116279069767,0.7000000000000001,0.095,1
AP500_2005_8_29.n3,43.1575,-71.895,0.622093023255814,0.64,0.0,1
AP504_2005_8_29.n3,37.25,-79.93,0.7093023255813954,0.6,0.0,1
AP505_2005_8_29.n3,30.665,-81.5388,0.7281976744186046,0.84,0.0,2
AP506_2005_8_29.n3,38.9333,-95.2068,0.7281976744186046,0.635,0.0025,1
AP519_2005_8_29.n3,40.76,-74.8463,0.6424418604651163,0.99,0.0,2
AP520_2005_8_29.n3,28.5763,-81.4442,0.7093023255813954,0.895,0.0125,2
AP521_2005_8_29.n3,34.1458,-84.1058,0.7252906976744186,0.7775,0.0125,1
AP522_2005_8_29.n3,39.2431,-76.9983,0.6976744186046512,0.795,0.0,2
AP523_2005_8_29.n3,43.6472,-116.3162,0.8037790697674418,0.17,0.0175,3
AP526_2005_8_29.n3,34.7122,-83.4399,0.7180232558139534,0.67,0.0075,1
AP530_2005_8_29.n3,24.6693,-81.3605,0.7267441860465116,0.835,0.11,2
AP534_2005_8_29.n3,40.71156,-73.6417,0.690406976744186,0.7925,0.0075,2
AP535_2005_8_29.n3,41.9929,-71.1669,0.6841085271317829,0.7466666666666667,0.0,1
AP537_2005_8_29.n3,28.4845,-80.8028,0.7165697674418604,0.91,0.0,2
AP541_2005_8_29.n3,33.84983,-117.87983,0.7456395348837209,0.3975,0.0175,0
AP542_2005_8_29.n3,40.3447,-105.0997,0.7238372093023255,0.2,0.0525,3
AP544_2005_8_29.n3,40.3747,-75.2703,0.23255813953488372,0.0,0.0,3
AP551_2005_8_29.n3,43.4522,-96.1798,0.6918604651162791,0.53,0.0,0
AP554_2005_8_29.n3,39.7405,-74.2905,0.690406976744186,0.6525,0.0175,1
AP555_2005_8_29.n3,41.63,-72.9452,0.6598837209302325,1.0,0.0,2
AP560_2005_8_29.n3,38.3915,-86.9302,0.6802325581395349,0.75,0.12,1
AP561_2005_8_29.n3,38.429,-87.778,0.7311046511627907,0.7025,0.0,1
AP564_2005_8_29.n3,42.458,-71.1955,0.6686046511627907,0.78,0.03,2
AP565_2005_8_29.n3,29.8802,-85.2142,0.7034883720930233,0.86,0.03333333333333333,2
AP566_2005_8_29.n3,27.9947,-81.926,0.6976744186046512,1.0,0.0,2
AP567_2005_8_29.n3,42.4825,-79.3427,0.7180232558139534,0.44,0.005,0
AP570_2005_8_29.n3,40.9467,-76.4522,0.6933139534883721,0.72,0.005,1
AP571_2005_8_29.n3,38.11579,-122.26831,0.786046511627907,0.198,0.038,3
AP573_2005_8_29.n3,29.663,-82.3347,0.7165697674418604,0.435,0.01,0
AP574_2005_8_29.n3,38.87537,-99.31108,0.7180232558139534,0.47750000000000004,0.0475,0
AP578_2005_8_29.n3,44.0108,-72.4833,0.622093023255814,0.87,0.0,2
AP580_2005_8_29.n3,38.6558,-87.1722,0.7427325581395349,0.5025000000000001,0.0,0
AP581_2005_8_29.n3,40.992,-89.45717,0.6802325581395349,0.53,0.0,0
AP583_2005_8_29.n3,40.778,-89.7547,0.23255813953488372,1.0,0.0,2
AP588_2005_8_29.n3,34.9638,-82.7613,0.687984496124031,1.0,0.0,2
AP590_2005_8_29.n3,32.85102,-97.27486,0.75,0.385,0.005,0
AP599_2005_8_29.n3,30.1955,-85.6742,0.48546511627906974,0.35000000000000003,0.045,0
AP606_2005_8_29.n3,45.5083,-73.7963,0.7093023255813954,0.6866666666666668,0.0,1
AP611_2005_8_29.n3,40.9808,-111.9042,0.7616279069767441,1.0,0.0,2
AP612_2005_8_29.n3,41.1142,-112.0618,0.7601744186046511,0.18,0.0275,3
AP627_2005_8_29.n3,50.14939,-96.88905,0.6090116279069767,0.77,0.07,2
AP638_2005_8_29.n3,30.3958,-97.6917,0.6744186046511628,0.5650000000000001,0.0,1
AP641_2005_8_29.n3,46.8912,-100.7778,0.7122093023255814,0.425,0.07,0
AP642_2005_8_29.n3,41.2198,-96.489,0.6482558139534884,0.73,0.13,1
AP647_2005_8_29.n3,29.553,-98.6247,0.7674418604651162,1.0,0.01,2
AP650_2005_8_29.n3,35.63883,-78.863,0.7616279069767441,0.685,0.0075,1
AP651_2005_8_29.n3,31.636,-97.48,0.7180232558139534,0.705,0.0,1
AP653_2005_8_29.n3,32.396,-97.7848,0.7776162790697674,0.2225,0.0075,3
AP654_2005_8_29.n3,32.415,-97.7992,0.7587209302325582,0.43,0.03,0
AP656_2005_8_29.n3,32.5677,-97.2657,0.7543604651162791,0.4675,0.015,0
AP674_2005_8_29.n3,42.708,-71.4453,0.6671511627906976,0.78,0.0,2
AP677_2005_8_29.n3,42.0368,-97.4525,0.6918604651162791,0.5175,0.0,0
AP680_2005_8_29.n3,42.721,-71.4698,0.6395348837209303,0.5,0.0,0
AP682_2005_8_29.n3,45.01081,-124.0061,0.5712209302325582,1.0,0.04,2
AP685_2005_8_29.n3,45.6605,-122.6042,0.6526162790697674,0.67,0.03,1
AP689_2005_8_29.n3,34.7245,-86.6453,0.7412790697674418,0.61,0.0525,1
AP690_2005_8_29.n3,34.6537,-86.5817,0.75,0.5525,0.03,1
AP697_2005_8_29.n3,43.9407,-71.1292,0.622093023255814,0.96,0.0,2
AP705_2005_8_29.n3,36.5238,-82.5072,0.7354651162790697,0.02,0.0075,3
AP706_2005_8_29.n3,40.9253,-98.4003,0.688953488372093,0.5875,0.0775,1
AP707_2005_8_29.n3,39.09066,-104.75222,0.6424418604651163,0.325,0.025,0
AP710_2005_8_29.n3,47.4393,-122.1808,0.6584302325581395,0.515,0.0325,0
AP712_2005_8_29.n3,42.7875,-71.3995,0.6671511627906976,0.8,0.0,2
AP715_2005_8_29.n3,35.6253,-78.3288,0.7572674418604651,0.525,0.03,0
AP718_2005_8_29.n3,33.47,-83.265,0.7151162790697674,0.7475,0.0,1
AP723_2005_8_29.n3,28.601,-81.1685,0.7360465116279069,0.78,0.026000000000000002,1
AP724_2005_8_29.n3,28.0257,-80.6837,0.6976744186046512,0.968,0.0,2
AP725_2005_8_29.n3,27.9283,-80.6535,0.7005813953488372,0.895,0.0,2
AP731_2005_8_29.n3,37.6453,-122.4717,0.5465116279069767,0.93,0.09,2
AP732_2005_8_29.n3,43.3195,-88.1683,0.6729651162790697,0.5225,0.045,0
AP733_2005_8_29.n3,32.89,-95.9255,0.7601744186046511,0.5225,0.05,0
AP739_2005_8_29.n3,33.6393,-117.1463,0.7965116279069767,0.335,0.05,0
AP741_2005_8_29.n3,39.9852,-105.1548,0.6802325581395349,0.1875,0.0025,3
